Titulo;link
Barcelona v Atlético Madrid: La Liga – live!;https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live
Bayern Munich v Borussia Dortmund: Bundesliga – live!;https://www.theguardian.com/football/live/2019/apr/06/bayern-munich-v-borussia-dortmund-bundesliga-live
County cricket: Notts v Yorkshire, Somerset v Kent and more – live!;https://www.theguardian.com/sport/live/2019/apr/06/county-cricket-notts-v-yorkshire-somerset-v-kent-and-more-live
Grand National 2019: Tiger Roll wins the big race again at Aintree – as it happened;https://www.theguardian.com/sport/live/2019/apr/06/grand-national-day-2019-live
Man who fled to UK as child has deportation to DRC halted;https://www.theguardian.com/world/2019/apr/06/im-so-scared-man-who-fled-congo-for-uk-as-child-to-be-deported
Football League: Leeds slip to third as Swansea leave Pulis on the brink;https://www.theguardian.com/football/2019/apr/06/football-league-leeds-birmingham-swansea-sheffield-united-middlesbrough-tony-pulis
Campaigners head to court to stop arms sales to Saudi Arabia;https://www.theguardian.com/world/2019/apr/06/campaigners-court-bid-to-stop-uk-arms-sales-to-saudi-arabia
Bath’s Joe Cokanasiga injured while scoring try in defeat of Bristol;https://www.theguardian.com/sport/2019/apr/06/bath-bristol-premiership-match-report
As the credits roll on Algeria’s dictator, a timely reminder of why history must not be repeated;https://www.theguardian.com/world/2019/apr/06/film-algeria-paris-avoid-repeat-conflict
Annie Ernaux: ‘I was so ashamed for Catherine Deneuve…’;https://www.theguardian.com/books/2019/apr/06/annie-ernaux-interview-the-years-memoir-man-booker-international
